,week,los.days,place,total_admin,prop
1,1,1,mock,89.988,0.153696378
2,1,2,mock,253.74,0.086675821
3,1,3,mock,182.508,0.055829969
4,1,4,mock,128.271,0.038101289
5,1,5,mock,2.962,0.030353959
6,1,6,mock,79.947,0.020229141
7,1,7,mock,4.99,0.010227296
8,1,8,mock,36.267,0.00965342
9,1,9,mock,52.332,0.012768748
10,1,10,mock,38.617,0.010842164
11,1,11,mock,42.336,0.008854092
12,1,12,mock,19.008,0.008116251
13,1,13,mock,0.867,0.005923224
14,1,14,mock,2.9,0.00297186
15,1,15,mock,6.408,0.003648214
16,1,16,mock,15.81,0.005226374
17,1,17,mock,14.238,0.004632002
18,1,18,mock,12.35,0.003894161
19,1,19,mock,4.123,0.004447542
20,1,20,mock,9.225,0.002520957
21,1,21,mock,4.648,0.001147753
22,1,22,mock,3.362,0.001680638
23,1,23,mock,9.48,0.00245947
24,1,24,mock,4.407,0.002316001
25,1,25,mock,3.366,0.002029063
26,1,26,mock,7.189,0.001865098
27,1,27,mock,4.539,0.001824107
28,1,28,mock,2.976,0.000635363
29,1,29,mock,1.813,0.001004284
30,1,30,mock,3.968,0.001270726
31,1,31,mock,5.81,0.001434691
32,1,32,mock,3.498,0.001086266
33,1,33,mock,4.085,0.00088131
34,1,34,mock,2.808,0.000799328
35,1,35,mock,0.624,0.000327929
36,1,36,mock,1.392,0.000594372
37,1,37,mock,0.484,0.000901806
38,1,38,mock,0.928,0.000594372
39,1,39,mock,3.7,0.000758337
40,1,40,mock,3.069,0.000635363
41,1,41,mock,0.882,0.00036892
42,1,42,mock,0.429,0.000266443
43,1,43,mock,0.901,0.000348425
44,1,44,mock,0.576,0.000655859
45,1,45,mock,0.76,0.000819823
46,1,46,mock,0.546,0.000532885
47,1,47,mock,0.462,0.000286938
48,1,48,mock,1.494,0.00036892
49,1,49,mock,0.116,8.20E-05
50,1,50,mock,0.156,0.000266443
51,1,51,mock,0.255,0.000307434
52,1,52,mock,0.336,0.000286938
53,1,53,mock,1.44,0.000327929
54,1,54,mock,0.027,0.000553381
55,1,55,mock,0.364,0.000266443
56,1,56,mock,0.198,0.00018446
57,1,57,mock,0.32,0.000163965
58,1,58,mock,1.026,0.00036892
59,1,59,mock,0.168,8.20E-05
60,1,60,mock,0.53,0.000204956
61,1,61,mock,0.28,0.000143469
62,1,62,mock,0.14,0.000204956
63,1,63,mock,0.219,6.15E-05
64,1,64,mock,0.054,0.00018446
65,1,65,mock,0.072,0.00018446
66,1,66,mock,0.584,0.000163965
67,1,67,mock,0.693,0.000143469
68,1,68,mock,0.09,6.15E-05
69,1,69,mock,0.284,8.20E-05
70,1,70,mock,0.039,6.15E-05
71,1,71,mock,0.08,2.05E-05
72,1,72,mock,0.118,4.10E-05
73,1,73,mock,0.097,2.05E-05
74,1,74,mock,0.255,6.15E-05
75,1,75,mock,0.17,4.10E-05
76,1,76,mock,0.1,8.20E-05
77,1,77,mock,0,0
78,1,78,mock,0,0
79,1,79,mock,0.2,4.10E-05
80,1,80,mock,0.072,4.10E-05
81,1,81,mock,0,0
82,1,82,mock,0,0
83,1,83,mock,0,0
84,1,84,mock,0.077,2.05E-05
85,1,85,mock,0,0
86,1,86,mock,0.073,2.05E-05
87,1,87,mock,0,0
88,1,88,mock,0.144,4.10E-05
89,1,89,mock,0,0
90,1,90,mock,0,0
91,1,91,mock,0,0
92,1,92,mock,0,0
93,1,93,mock,0,0
94,1,94,mock,0,0
95,1,95,mock,0,0
96,1,96,mock,0.034,2.05E-05
97,1,97,mock,0,0
98,1,98,mock,0,0
99,1,99,mock,0,0
100,1,100,mock,0,0
101,1,101,mock,0.039,2.05E-05
102,1,102,mock,0,0
103,1,103,mock,0,0
104,1,104,mock,0.063,2.05E-05
105,1,105,mock,0,0
106,1,106,mock,0,0
107,1,107,mock,0,0
108,1,108,mock,0,0
109,1,109,mock,0,0
110,1,110,mock,0.043,2.05E-05
111,1,111,mock,0.021,2.05E-05
112,1,112,mock,0,0
113,1,113,mock,0,0
114,1,114,mock,0,0
115,1,115,mock,0,0
116,1,116,mock,0.036,2.05E-05
117,1,117,mock,0.082,2.05E-05
118,1,118,mock,0,0
119,1,119,mock,0,0
120,1,120,mock,0,0
121,1,121,mock,0,0
122,1,122,mock,0,0
123,1,123,mock,0,0
124,1,124,mock,0,0
125,1,125,mock,0,0
126,1,126,mock,0,0
127,1,127,mock,0,0
128,1,128,mock,0.033,2.05E-05
129,1,129,mock,0,0
130,1,130,mock,0.018,2.05E-05
131,1,131,mock,0,0
132,1,132,mock,0,0
133,1,133,mock,0,0
134,1,134,mock,0,0
135,1,135,mock,0,0
136,1,136,mock,0,0
137,1,137,mock,0.021,2.05E-05
138,1,138,mock,0,0
139,1,139,mock,0,0
140,1,140,mock,0,0
141,1,141,mock,0,0
142,1,142,mock,0,0
143,1,143,mock,0,0
144,1,144,mock,0,0
145,1,145,mock,0,0
146,1,146,mock,0,0
147,1,147,mock,0,0
148,1,148,mock,0,0
149,1,149,mock,0,0
150,1,150,mock,0,0
151,1,151,mock,0,0
152,1,152,mock,0.068,2.05E-05
153,1,153,mock,0,0
154,1,154,mock,0,0
155,1,155,mock,0,0
156,1,156,mock,0,0
157,1,157,mock,0,0
158,1,158,mock,0,0
159,1,159,mock,0,0
160,1,160,mock,0,0
161,1,161,mock,0,0
162,1,162,mock,0,0
163,1,163,mock,0,0
164,1,164,mock,0,0
165,1,165,mock,0,0
166,1,166,mock,0,0
167,1,167,mock,0,0
168,1,168,mock,0,0
169,1,169,mock,0,0
170,1,170,mock,0.067,2.05E-05
171,1,171,mock,0,0
